fecha,apertura
25/11/2020 00:00,19175.13
24/11/2020 00:00,18386.92
23/11/2020 00:00,18432.6
22/11/2020 00:00,18726.43
21/11/2020 00:00,18685.08
20/11/2020 00:00,17822.37
19/11/2020 00:00,17792.96
18/11/2020 00:00,17681.77
17/11/2020 00:00,16727.85
16/11/2020 00:00,15975.49
15/11/2020 00:00,16092.8
14/11/2020 00:00,16339.06
13/11/2020 00:00,16300
12/11/2020 00:00,15702
11/11/2020 00:00,15314.94
10/11/2020 00:00,15349.32
09/11/2020 00:00,15484.68
08/11/2020 00:00,14829.32
07/11/2020 00:00,15603.28
06/11/2020 00:00,15608.32
05/11/2020 00:00,14168.49
04/11/2020 00:00,14041.58
03/11/2020 00:00,13578.82
02/11/2020 00:00,13762
01/11/2020 00:00,13799.44
31/10/2020 00:00,13569.42
30/10/2020 00:00,13456.14
29/10/2020 00:00,13275.82
28/10/2020 00:00,13642.31
27/10/2020 00:00,13065.1
26/10/2020 00:00,13041.12
25/10/2020 00:00,13115.18
24/10/2020 00:00,12940.03
23/10/2020 00:00,12983.26
22/10/2020 00:00,12802.63
21/10/2020 00:00,11921.33
20/10/2020 00:00,11759.2
19/10/2020 00:00,11518.58
18/10/2020 00:00,11363.4
17/10/2020 00:00,11331.88
16/10/2020 00:00,11506.53
15/10/2020 00:00,11430.49
14/10/2020 00:00,11440.28
13/10/2020 00:00,11539.42
12/10/2020 00:00,11372.48
11/10/2020 00:00,11300.97
10/10/2020 00:00,11060.46
09/10/2020 00:00,10927.02
08/10/2020 00:00,10669.1
07/10/2020 00:00,10602.31
06/10/2020 00:00,10797.36
05/10/2020 00:00,10666.16
04/10/2020 00:00,10543.17
03/10/2020 00:00,10571.6
02/10/2020 00:00,10611.17
01/10/2020 00:00,10780.83
30/09/2020 00:00,10840
29/09/2020 00:00,10681.41
28/09/2020 00:00,10779.99
27/09/2020 00:00,10731.09
26/09/2020 00:00,10694.23
25/09/2020 00:00,10738.46
24/09/2020 00:00,10236.86
23/09/2020 00:00,10525.72
22/09/2020 00:00,10418.83
21/09/2020 00:00,10921.53
20/09/2020 00:00,11070.84
19/09/2020 00:00,10935.49
18/09/2020 00:00,10947.35
17/09/2020 00:00,10950.15
16/09/2020 00:00,10785
15/09/2020 00:00,10671.4
14/09/2020 00:00,10338.82
13/09/2020 00:00,10446.4
12/09/2020 00:00,10400.46
11/09/2020 00:00,10341.38
10/09/2020 00:00,10221.76
09/09/2020 00:00,10126.01
08/09/2020 00:00,10377.5
07/09/2020 00:00,10258.43
06/09/2020 00:00,10165.47
05/09/2020 00:00,10460.2
04/09/2020 00:00,10160
03/09/2020 00:00,11395.1
02/09/2020 00:00,11919.53
01/09/2020 00:00,11658.48
31/08/2020 00:00,11713.11
30/08/2020 00:00,11471.71
29/08/2020 00:00,11538.74
28/08/2020 00:00,11332.26
27/08/2020 00:00,11462.91
26/08/2020 00:00,11328.5
25/08/2020 00:00,11750.4
24/08/2020 00:00,11653.7
23/08/2020 00:00,11678.17
22/08/2020 00:00,11527.81
21/08/2020 00:00,11857.18
20/08/2020 00:00,11762.18
19/08/2020 00:00,11950
18/08/2020 00:00,12301.27
17/08/2020 00:00,11916.83
16/08/2020 00:00,11858.6
15/08/2020 00:00,11771.97
14/08/2020 00:00,11797.55
13/08/2020 00:00,11567.74
